property_id,year_built,base_price,address,town,state,property_style,total_units,owned_at_start,acquisition_basis,acquisition_date
82,1900,728022.10,M_243415_912132,Lynn,MA,Two-Family Residential,2,,,
83,1920,782276.24,M_243428_912139,Lynn,MA,Two-Family Residential,2,,,
84,1890,1016353.59,M_243441_912146,Lynn,MA,Three-Family Residential,3,,,
85,1890,963425.41,M_243454_912154,Lynn,MA,Three-Family Residential,3,,,
86,1900,904198.90,M_243434_912108,Lynn,MA,Three-Family Residential,3,,,
87,1908,852044.20,M_243424_912103,Lynn,MA,Three-Family Residential,3,,,
88,1923,838563.54,M_243389_912122,Lynn,MA,Three-Family Residential,3,,,
89,1923,575679.56,M_243396_912112,Lynn,MA,Two-Family Residential,2,,,
90,1890,825193.37,M_243394_912195,Lynn,MA,Two-Family Residential,2,,,
91,1925,844972.38,M_243434_912200,Lynn,MA,Three-Family Residential,3,,,
92,1903,1336574.59,M_243421_912193,Lynn,MA,Apartments with Four to Eight Units,6,,,
93,1925,887955.80,M_243395_912173,Lynn,MA,Three-Family Residential,3,,,
94,1925,1222541.44,M_243377_912167,Lynn,MA,Apartments with Four to Eight Units,4,,,
95,1900,954806.63,M_243362_912157,Lynn,MA,Three-Family Residential,3,,,
96,1890,971933.70,M_243343_912136,Lynn,MA,Three-Family Residential,3,,,
97,1880,679613.26,M_243342_912144,Lynn,MA,Two-Family Residential,2,,,
98,1900,1101878.45,M_243447_912207,Lynn,MA,Three-Family Residential,3,,,
99,1900,950497.24,M_243423_912240,Lynn,MA,Three-Family Residential,3,,,
100,1900,660541.44,M_243412_912232,Lynn,MA,Two-Family Residential,2,,,
101,1890,950386.74,M_243347_912309,Lynn,MA,Three-Family Residential,3,,,
102,1900,714176.80,M_243384_912273,Lynn,MA,Two-Family Residential,2,,,
103,1900,921325.97,M_243380_912255,Lynn,MA,Two-Family Residential,2,,,
104,1900,685314.92,M_243350_912254,Lynn,MA,Two-Family Residential,2,,,
105,1900,712640.88,M_243336_912246,Lynn,MA,Two-Family Residential,2,,,
106,1910,961325.97,M_243307_912383,Lynn,MA,Three-Family Residential,3,,,
107,1910,780552.49,M_243349_912401,Lynn,MA,Three-Family Residential,3,,,
108,1900,892265.19,M_243319_912330,Lynn,MA,Three-Family Residential,3,,,
109,1950,670055.25,M_243296_912313,Lynn,MA,Two-Family Residential,2,,,
110,1890,860850.83,M_243298_912218,Lynn,MA,Two-Family Residential,2,,,
111,1900,826419.89,M_243299_912201,Lynn,MA,Two-Family Residential,2,,,
112,1905,925558.01,M_243072_912149,Lynn,MA,Two-Family Residential,2,,,
113,1905,820762.43,M_243059_912156,Lynn,MA,Two-Family Residential,2,,,
114,1900,728740.33,M_243057_912263,Lynn,MA,Two-Family Residential,2,,,
